hospcode,kpi_provcode,kpi_year,kpi_no,kpi_a_value_q1,kpi_b_value_q1,kpi_c_value_q1,kpi_d_value_q1,kpi_e_value_q1,kpi_f_value_q1,kpi_a_value_q2,kpi_b_value_q2,kpi_c_value_q2,kpi_d_value_q2,kpi_e_value_q2,kpi_f_value_q2,kpi_a_value_q3,kpi_b_value_q3,kpi_c_value_q3,kpi_d_value_q3,kpi_e_value_q3,kpi_f_value_q3,kpi_a_value_q4,kpi_b_value_q4,kpi_c_value_q4,kpi_d_value_q4,kpi_e_value_q4,kpi_f_value_q4
00027,27,2560,001,98,150,0,0,0,0,0,150,,,,,0,150,,,,,0,150,,,,
00020,20,2560,001,105,190,0,0,0,0,0,190,,,,,0,190,,,,,0,190,,,,
00021,21,2560,001,76,130,0,0,0,0,0,130,,,,,0,130,,,,,0,130,,,,
00022,22,2560,001,77,140,0,0,0,0,0,140,,,,,0,140,,,,,0,140,,,,
00023,23,2560,001,85,110,0,0,0,0,0,110,,,,,0,110,,,,,0,110,,,,
00024,24,2560,001,89,150,0,0,0,0,0,150,,,,,0,150,,,,,0,150,,,,
00025,25,2560,001,98,150,0,0,0,0,0,150,,,,,0,150,,,,,0,150,,,,
00011,11,2560,001,124,190,0,0,0,0,0,190,,,,,0,190,,,,,0,190,,,,
